,Team
244,Stonehill Skyhawks
245,Iowa Hawkeyes
246,Puerto Rico-Mayaguez Bulldogs
247,Kansas City Roos
248,Syracuse Orange
249,Villanova Wildcats
250,Texas Longhorns
251,Delaware State Hornets
252,Saint Louis Billikens
253,Loyola Chicago Ramblers
254,VCU Rams
255,Davidson Wildcats
256,Dayton Flyers
257,George Washington Revolutionaries
258,St. Bonaventure Bonnies
259,Rhode Island Rams
260,Boston College Eagles
261,Florida State Seminoles
262,Holy Family University Tigers
263,Franklin Pierce Ravens
264,Detroit Mercy Titans
265,UT Arlington Mavericks
266,Providence Friars
267,Saint Joseph's Hawks
268,Louisiana Tech Bulldogs
269,St. John's Red Storm
270,Manhattan Jaspers
271,Georgian Court Lions
272,San Francisco Dons
273,Fairleigh Dickinson Knights
274,Cal State Northridge Matadors
275,Mansfield Mountaineers
276,Utah State Aggies
277,Texas Southern Tigers
278,IU Indianapolis Jaguars
279,Wake Forest Demon Deacons
280,Michigan Wolverines
281,Creighton Bluejays
282,Butler Bulldogs
283,Capital Crusaders
284,New Mexico State Aggies
285,Western Michigan Broncos
286,UNLV Rebels
287,Mount Olive Trojans
288,Cornell Big Red
289,UC San Diego Tritons
290,Immaculata Mighty Macs
291,UVA Wise Cavaliers
292,South Dakota State Jackrabbits
293,Cleary University Cougars
294,Xavier Musketeers
295,Minnesota Golden Gophers
296,Clemson Tigers
297,NC State Wolfpack
298,Stanford Cardinal
299,Louisville Cardinals
300,California Golden Bears
301,SMU Mustangs
302,Notre Dame Fighting Irish
303,Mount St. Mary's Mountaineers
304,Florida A&M Rattlers
305,Alcorn State Braves
306,Purdue Boilermakers
307,Maryland Eastern Shore Hawks
308,Washington Huskies
309,Nebraska Cornhuskers
310,Illinois Fighting Illini
311,Indiana Hoosiers
312,Rutgers Scarlet Knights
313,USC Trojans
314,Seattle U Redhawks
315,Incarnate Word Cardinals
316,Hawai'i Rainbow Warriors
317,Alabama Crimson Tide
318,Boise State Broncos
319,Northern Kentucky Norse
320,Oakland Golden Grizzlies
321,Missouri Tigers
322,Houston Christian Huskies
323,Mississippi Valley State Delta Devils
324,Arkansas-Pine Bluff Golden Lions
325,Northwestern State Demons
326,Ole Miss Rebels
327,Vanderbilt Commodores
328,Lindenwood Lions
329,East Texas A&M Lions
330,Prairie View A&M Panthers
331,St. Thomas-Minnesota Tommies
332,Nevada Wolf Pack
333,Eastern Washington Eagles
334,Northern Colorado Bears
335,Cal State Fullerton Titans
336,Pacific Tigers
337,Colorado State Rams
338,Alabama State Hornets
339,Wyoming Cowboys
340,Lamar Cardinals
341,Southern Jaguars
342,Abilene Christian Wildcats
343,Gonzaga Bulldogs
344,Sam Houston Bearkats
345,Arlington Baptist Patriots
346,Cleveland State Vikings
347,UT Rio Grande Valley Vaqueros
348,Saint Mary's Gaels
349,South Dakota Coyotes
350,Oregon State Beavers
351,Maryland Terrapins
352,New Mexico Lobos
353,Youngstown State Penguins
354,North Dakota Fighting Hawks
355,Robert Morris Colonials
356,Northwest Indian RedHawks
357,Justice College Lions
358,Bowling Green Falcons
359,Pepperdine Waves
360,North Dakota State Bison
361,Utah Tech Trailblazers
362,Lincoln University (CA) Oaklanders
363,Utah Valley Wolverines
364,Northern Arizona Lumberjacks
365,Idaho State Bengals
366,Montana Grizzlies
367,Montana State Bobcats
368,Portland State Vikings
369,Sacramento State Hornets
370,Idaho Vandals
371,Cal Poly Mustangs
372,Washington State Cougars
373,UC Santa Barbara Gauchos
374,Eastern Oregon Mountaineers
375,Weber State Wildcats
376,Hawai'i Hilo Vulcans
377,Denver Pioneers
378,Montana Tech Orediggers
379,Southern Oregon Raiders
380,Embry-Riddle (AZ) Eagles
381,Walla Walla Wolves
382,Park University Gilbert Buccaneers
383,Nelson Lions
384,Eastern Michigan Eagles
385,Southern Utah Thunderbirds
386,Benedictine (AZ) Redhawks
387,Cal Maritime Keelhaulers
388,Fresno State Bulldogs
389,UC Davis Aggies
390,Stanislaus State Warriors
391,Bethesda University Flames
392,UC Riverside Highlanders
393,Evergreen State Geoducks
394,Piedmont Lions
395,Little Rock Trojans
396,Averett Cougars
397,Bob Jones Bruins
398,Morris College Hornets
399,UT Martin Skyhawks
400,Columbia International Rams
401,Carolina University Bruins
402,McNeese Cowboys
403,Central Penn Knights
404,St. Andrews Knights
405,UTEP Miners
406,Ohio Bobcats
407,Tennessee State Tigers
408,Bluefield University Ramblin' Rams
409,Southern Virginia Knights
410,Warner University Royals
411,Washington College (MD) Shoremen
412,Christendom Crusaders
413,Regent Royals
414,Eastern Illinois Panthers
415,SIU Edwardsville Cougars
416,Texas A&M-Corpus Christi Islanders
417,San Francisco State Gators
418,Portland Pilots
419,San José State Spartans
420,Westcliff Warriors
421,Long Beach State Beach
422,Chapman Panthers
423,Kent State Golden Flashes
424,Westminster (UT) Griffins
425,San Diego State Aztecs
426,Menlo Oaks
427,Grambling Tigers
428,Northwest University Eagles
429,Grand Canyon Lopes
430,La Sierra Golden Eagles
431,Nobel Knights
432,Jessup University Warriors
433,Life Pacific Warriors
434,Santa Clara Broncos
435,St. Francis (IL) Fighting Saints
436,La Verne Leopards
437,Spartanburg Methodist Pioneers
438,Elizabeth City State Vikings
439,Ferrum Panthers
440,Randolph-Macon Yellow Jackets
441,Virginia Wesleyan Blue Marlins
442,Chestnut Hill College Griffins
443,Mary Baldwin Fighting Squirrels
444,Midway University Eagles
445,Dickinson (PA) Red Devils
446,Old Westbury Panthers
447,Penn State - Wilkes-Barre Mountain Lions
448,Nicholls Colonels
449,Morehead State Eagles
450,Avila Eagles
451,William Woods Owls
452,Southern Indiana Screaming Eagles
453,Northern Illinois Huskies
454,Livingstone Blue Bears
455,Louisiana Christian Wildcats
456,Dillard Blue Devils
457,Auburn-Montgomery Senators
458,Wright State Raiders
459,Webber International Warriors
460,Loyola New Orleans Wolfpack
461,William Carey Crusaders
462,NC Wesleyan Battling Bishops
463,Bluffton Beavers
464,Defiance Yellow Jackets
465,Champion Christian Tigers
466,Stephen F. Austin Lumberjacks
467,Northern New Mexico Eagles
468,College Of Biblical Studies Ambassadors
469,Dallas Christian Crusaders
470,Texas Lutheran Bulldogs
471,Southwestern Adventist Knights
472,Schreiner Mountaineers
473,Lakeland Muskies
474,Akron Zips
475,North Central College Cardinals
476,Saint Mary's (MN) Cardinals
477,Eureka Red Devils
478,Bethany (WV) Bison
479,Penn State-Shenango Nittany Lions
480,Western Illinois Leathernecks
481,Michigan Tech Huskies
482,Ohio Christian Trailblazers
483,Central State (OH) Marauders
484,Baldwin Wallace Yellow Jackets
485,Brescia Bearcats
486,Johnson & Wales (RI) Griffins
487,Nazareth College Golden Flyers
488,Kean Cougars
489,Emerson Lions
490,Vermont State - Lyndon Hornets
491,Colby-Sawyer Chargers
492,Marywood Pacers
493,Penn State-Schuylkill Nittany Lions
494,Bowdoin Polar Bears
495,Merchant Marine Academy Mariners
496,Sarah Lawrence Gryphons
497,Mercy Mavericks
498,John Jay College Bloodhounds
499,Houghton Highlanders
500,Saint Elizabeth Eagles
501,Concordia-Ann Arbor Cardinals
502,Calumet College Crimson Wave
503,IU Columbus Crimson Pride
504,Goshen Maple Leafs
505,Trinity Christian (IL) Trolls
506,Ozark Christian Ambassadors
507,Haskell Jayhawks
508,Rogers State Hillcats
509,Texas A&M-Texarkana Eagles
510,Hannibal-LaGrange Trojans
511,Kansas Christian Falcons
512,Calvary Warriors
513,Puerto Rico-Rio Piedras Gallitos
514,Western New Mexico Mustangs
515,Monmouth (IL) Fighting Scots
516,St. Ambrose Fighting Bees
517,East-West University Phantoms
518,Miami (OH)-Hamilton Harriers
519,Heidelberg Student Princes
520,Davis & Elkins Senators
521,West Virginia Wesleyan Bobcats
522,Ohio Wesleyan Battling Bishops
523,SUNY-Brockport Golden Eagles
524,Muskingum Fighting Muskies
525,Fredonia State Blue Devils
526,Pittsburgh-Bradford Panthers
527,Purdue Northwest Pride
528,Aquinas Saints
529,Holy Cross College (IN) Saints
530,Benedictine University (IL) Eagles
531,Davenport Panthers
532,Franklin Grizzlies
533,Anderson (IN) Ravens
534,Taylor Trojans
535,Siena Heights Saints
536,Voorhees Tigers
537,Mid-Atlantic Christian Mustangs
538,Gwynedd-Mercy Griffins
539,Cheyney (PA) Wolves
540,Apprentice School Builders
541,Trinity (FL) Tigers
542,Washington Adventist Shock
543,Bowie State Bulldogs
544,Morehouse Maroon Tigers
545,Frostburg State Bobcats
546,District Of Columbia Firebirds
547,Gallaudet Bison
548,Bryn Athyn Lions
549,Missouri S&T Miners
550,Missouri Southern State Lions
551,Lincoln (MO) Blue Tigers
552,Friends University Falcons
553,Judson University Eagles
