,team,height,bat_hand,throw_hand,year,position,name,player_id,opponent,win,saves,innings,earned_runs_allowed,singles,doubles,triples,home_runs,runs,runs_batted_in,walks,hits_by_pitch,stolen_bases,caught_stealing
25,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Cal Poly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Cal Poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Texas State,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
28,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Arizona,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Oklahoma State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Rice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
31,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,UTSA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Texas Southern,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
33,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,New Mexico State,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
34,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,New Mexico State,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
35,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,New Mexico State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Prairie View,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
37,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
38,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
39,Texas A&M,76.0,BOTH,RIGHT,1.0,INF,Sawyer Farr,9107762.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Elon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Elon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Elon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,McNeese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Cal Poly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Cal Poly,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Cal Poly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Texas State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Oklahoma State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Rice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,UTSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Texas Southern,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,New Mexico State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,New Mexico State,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,New Mexico State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Prairie View,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Texas A&M,72.0,BOTH,RIGHT,1.0,C,Hayden Crites,9107770.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
