index,id,name,conference
202,596492,Charleston So.,Big South
203,596632,Northern Colo.,Summit League
204,596591,Marshall,Sun Belt
205,596567,Purdue Fort Wayne,Horizon
206,596665,Saint Mary's,CA
207,596673,Santa Clara,WCC
208,596433,Valparaiso,MVC
209,596571,Jacksonville St.,CUSA
210,596595,Massachusetts,Atlantic 10
211,596608,Missouri,SEC
212,596435,Villanova,Big East
213,596480,Alabama,SEC
214,596580,Lehigh,Patriot
215,596430,Air Force,Mountain West
216,596636,Northwestern,Big Ten
217,596558,Hofstra,CAA
218,596629,North Dakota St.,Summit League
219,596493,Baylor,Big 12
220,596517,Canisius,MAAC
221,596431,Navy,Patriot
222,596421,TCU,Big 12
223,596446,Western Ill.,OVC
224,596466,Ark.-Pine Bluff,SWAC
225,596656,Rhode Island,Atlantic 10
226,596692,UT Martin,OVC
227,596539,Eastern Mich.,MAC
228,596707,Fresno St.,Mountain West
229,596562,Illinois St.,MVC
230,596507,Long Beach St.,Big West
231,596424,UT Arlington,WAC
232,596687,Louisiana,Sun Belt
233,596642,Old Dominion,Sun Belt
234,596681,Southern California,Pac-12
235,596630,ULM,Sun Belt
236,596648,Pepperdine,WCC
237,596443,Washington,Pac-12
238,596475,North Ala.,ASUN
239,596666,Saint Peter's,MAAC
240,596520,Central Mich.,MAC
241,596456,Youngstown St.,Horizon
242,596506,Cal St. Fullerton,Big West
243,596476,California Baptist,WAC
244,596537,Eastern Ill.,OVC
245,596488,Little Rock,OVC
246,596618,Omaha,Summit League
247,596683,SIUE,OVC
248,596471,A&M-Corpus Christi,Southland
249,596637,Notre Dame,ACC
250,596588,Maine,America East
251,596640,Ohio,MAC
252,596660,Rutgers,Big Ten
253,596504,Cal Poly,Big West
254,596688,Stanford,Pac-12
255,596620,Nevada,Mountain West
256,596465,Seattle U,WAC
257,596690,Stony Brook,CAA
258,596495,Binghamton,America East
259,596500,Brown,Ivy League
260,596452,Milwaukee,Horizon
261,596626,Norfolk St.,NEC
262,596627,N.C. A&T,CAA
263,596578,Lafayette,Patriot
264,596426,UTSA,AAC
265,596518,Central Conn. St.,NEC
266,596442,Washington St.,Pac-12
267,596547,Fordham,Atlantic 10
268,596428,Towson,CAA
269,596662,St. Bonaventure,Atlantic 10
270,596525,Columbia,Ivy League
271,596498,Bradley,MVC
272,596568,Iona,MAAC
273,596678,South Dakota St.,Summit League
274,596555,Gonzaga,WCC
275,596515,UC Riverside,Big West
276,596652,Princeton,Ivy League
277,596548,George Mason,Atlantic 10
278,596609,Monmouth,CAA
279,596669,San Diego St.,Mountain West
280,596594,UMES,NEC
281,596674,Seton Hall,Big East
282,596530,Dartmouth,Ivy League
283,596451,Winthrop,Big South
284,596505,CSU Bakersfield,Big West
285,596603,Middle Tenn.,CUSA
286,596689,SFA,WAC
287,596455,Yale,Ivy League
288,596560,Houston Christian,Southland
289,596512,UC Davis,Big West
290,596483,Alcorn,SWAC
291,596522,The Citadel,SoCon
292,596606,Mississippi Val.,SWAC
293,596528,Cornell,Ivy League
294,596556,Harvard,Ivy League
